rank,sector,turnover,price_mom_5,price_mom_15,price_mom_30,price_mom_150
1,電気機器,44249.5,3.92,3.25,-8.59,46.39
2,非鉄金属,9784.4,3.71,7.25,0.87,26.55
3,機械,5681.4,0.47,1.54,-3.35,23.03
4,情報･通信業,5331.6,3.42,4.64,8.65,-2.76
5,銀行業,4813.4,5.35,5.71,16.76,61.71
6,化学,4061.9,2.36,3.99,2.55,21.95
7,その他,3636.6,2.36,0.83,0.17,8.28
8,小売業,3017.4,1.77,2.8,5.8,2.88
9,サービス業,2959.0,2.83,2.73,3.65,0.43
10,卸売業,2895.2,2.46,5.82,8.43,11.19
11,輸送用機器,2658.0,0.11,2.85,6.74,8.15
12,その他製品,2645.7,2.72,3.95,5.26,10.51
13,建設業,1570.2,0.83,0.63,1.01,3.22
14,医薬品,1522.1,5.17,4.66,5.77,-5.95
15,食料品,1479.9,2.63,2.68,5.37,7.57
16,精密機器,1209.3,4.02,6.57,3.78,42.53
17,保険業,1081.6,-0.8,-0.96,5.59,7.78
18,不動産業,1010.0,2.65,2.58,6.5,1.83
19,金属製品,861.5,1.35,2.31,-3.51,21.47
20,陸運業,859.6,2.33,2.68,6.64,4.18
21,ガラス･土石製品,797.1,2.12,1.41,-3.84,17.94
22,ゴム製品,718.9,2.46,2.78,8.2,13.63
23,鉄鋼,599.5,3.49,3.16,6.58,14.29
24,電気･ガス業,587.7,2.35,0.89,5.48,5.48
25,その他金融業,537.5,1.55,2.71,6.89,8.7
26,繊維製品,532.3,4.53,8.39,9.89,19.19
27,海運業,514.4,3.38,10.76,19.73,23.36
28,証券･商品先物取引業,364.6,1.35,1.3,9.49,12.22
29,鉱業,276.8,4.13,7.38,20.56,22.44
30,石油･石炭製品,215.9,1.87,2.34,8.35,12.45
31,空運業,128.1,-0.23,2.04,1.59,0.34
32,パルプ・紙,90.2,3.32,3.05,4.12,17.98
33,倉庫･運輸関連業,63.7,2.34,1.49,5.32,8.88
34,水産・農林業,38.3,2.05,0.67,3.2,-7.83
