Date,水産・農林業,その他,医薬品,情報･通信業,小売業,建設業,サービス業,不動産業,非鉄金属,鉱業,その他製品,卸売業,化学,機械,その他金融業,食料品,精密機器,陸運業,証券･商品先物取引業,電気機器,金属製品,繊維製品,ガラス･土石製品,輸送用機器,電気･ガス業,石油･石炭製品,パルプ・紙,ゴム製品,鉄鋼,銀行業,保険業,海運業,倉庫･運輸関連業,空運業
2025-07-11,15.4,2412.7,1502.2,4533.5,4453.1,835.0,2342.0,776.5,2096.2,111.3,830.6,2768.3,1864.4,5465.8,257.8,1007.1,715.5,686.5,492.3,9856.1,235.0,144.1,333.6,2427.3,649.5,116.2,97.0,207.8,353.2,3199.4,637.2,332.2,43.5,172.5
2025-07-14,19.5,2133.0,1347.8,4086.1,4598.0,756.6,2113.7,741.1,1650.3,102.0,790.2,2627.5,1663.0,5652.5,240.2,905.2,654.4,610.9,441.0,8224.8,206.5,145.7,304.1,2173.6,586.8,107.9,77.5,174.0,287.4,2586.5,550.7,285.0,37.5,127.5
2025-07-15,21.3,2148.2,1394.1,3841.4,4466.8,742.9,2098.1,736.7,1877.4,103.6,735.3,2539.8,1595.1,6083.6,240.0,906.0,608.9,599.4,468.1,8301.5,190.2,149.8,299.0,2106.3,594.3,108.3,71.9,171.6,272.2,2530.6,587.3,257.3,35.8,115.2
2025-07-16,21.5,2204.6,1406.0,3891.9,4265.5,722.8,2056.1,736.8,1951.0,99.9,733.7,2487.0,1562.1,6192.9,235.1,942.8,592.8,605.2,444.6,9311.4,184.9,143.8,311.7,2012.4,598.0,111.3,64.3,165.3,266.5,2415.9,573.9,246.8,36.2,105.4
2025-07-17,20.8,2177.1,1457.5,3901.9,4206.0,718.0,2020.7,706.4,1880.3,95.9,759.1,2434.6,1512.7,6228.6,237.9,928.4,576.3,601.1,426.2,9499.6,193.5,143.6,306.4,1963.1,583.9,114.2,60.9,161.8,261.5,2292.4,600.8,240.0,36.4,100.2
2025-07-18,20.8,2101.5,1467.7,3814.8,3995.0,676.8,1843.8,739.3,1977.8,88.4,745.0,2234.4,1377.9,6606.8,235.9,903.5,528.0,574.0,436.1,9253.4,182.5,135.4,297.1,1776.8,583.5,114.9,53.2,146.8,251.5,2027.9,593.4,206.5,33.6,84.2
2025-07-22,19.9,2263.0,1552.1,3991.2,3731.8,679.5,1780.0,767.3,2232.5,89.7,792.2,2230.5,1378.2,6782.3,233.3,956.4,535.2,576.3,467.7,9526.9,175.8,130.0,304.5,1794.5,704.9,119.5,51.7,153.1,302.1,2075.3,624.6,208.5,32.5,83.1
2025-07-23,19.3,3010.8,1668.6,4320.4,3827.0,813.8,1830.1,831.8,2353.6,102.7,920.7,2483.3,1624.6,7055.1,263.7,1055.4,605.0,619.0,498.9,10364.6,204.5,135.6,367.8,3493.9,839.6,139.2,54.1,202.9,391.3,2734.7,719.0,302.5,33.6,92.7
2025-07-24,19.1,3343.2,1757.2,4410.2,3914.2,887.5,1887.5,848.9,2533.7,114.7,997.8,2503.8,1749.7,7247.0,287.4,1061.9,686.9,635.4,530.4,10067.2,217.0,140.0,417.9,4206.2,901.0,145.5,57.6,251.1,432.0,3321.4,792.7,346.3,35.4,103.2
2025-07-25,19.6,3424.5,1736.8,4521.3,3694.0,938.4,1950.4,861.1,2712.9,115.6,1050.8,2505.5,2094.8,7165.1,287.5,1062.1,686.0,642.3,535.3,9833.0,215.9,137.0,447.0,4479.6,946.8,145.4,59.0,266.2,460.1,3467.9,760.9,401.4,37.3,100.9
2025-07-28,20.1,3517.3,1674.5,4552.1,3550.8,995.7,2067.6,822.3,2645.1,119.7,1050.7,2602.1,2231.4,6701.5,285.5,1058.0,700.7,645.9,522.9,9822.1,215.8,137.3,461.7,4674.0,998.1,139.6,57.0,277.7,461.0,3652.6,736.6,435.9,39.4,99.2
