証券コード,銘柄名,市場区分,東証33業種,分野,主要インフラ製品,区分,備考,関連団体・出典,確認状況
6326,クボタ,プライム,機械,上下水道|ガス|河川・防災,ダクタイル鋳鉄管・水道用バルブ・ポンプ・塩ビ管/PE管（クボタケミックス）・浄化槽・MBR膜・排水機場ポンプゲート,多角化,農機が主力。水道用鋳鉄管で国内首位。ガス用PE管も子会社が展開,日本ダクタイル鉄管協会・水道バルブ工業会・日本ポンプ工業会,未確認
5602,栗本鐵工所,プライム,鉄鋼,上下水道,ダクタイル鋳鉄管・異形管・水道用バルブ・FRPM管,多角化,鉄管が祖業。機械・化工機・建材も併営。水門事業は2010年にIHIへ譲渡,日本ダクタイル鉄管協会・水道バルブ工業会,未確認
5612,日本鋳鉄管,スタンダード,鉄鋼,上下水道|ガス,ダクタイル鋳鉄管・異形管・ポリエチレン管,専業,JFEスチール系。上下水道・ガス用資材,日本ダクタイル鉄管協会・Yahoo!ファイナンス,確認済
575A,前澤ホールディングス,プライム,機械,上下水道|河川・防災,水道用バルブ・仕切弁・ゲート・制水扉・水処理装置（前澤工業）、塩ビ継手・下水道用マス・メーターボックス・浄化槽（前澤化成工業）,専業,2026年6月1日に前澤工業（旧6489）と前澤化成工業（旧7925）の共同持株会社として東証プライムに新規上場。旧2社は2026年5月28日上場廃止。処理場設備は据付を含む,日本バルブ工業会・水道バルブ工業会・JPX新規上場情報・松井証券,確認済
6485,前澤給装工業,スタンダード,機械,上下水道,サドル付分水栓・止水栓・給水管継手（給水装置）,専業,給水装置で高シェア,日本水道協会検査工場・Yahoo!ファイナンス・松井証券,確認済
4204,積水化学工業,プライム,化学,上下水道|ガス|鉄道|河川・防災,エスロン塩ビ管・PE管・継手・下水道管更生SPR工法・ガス用PE管・FFU合成まくらぎ・雨水貯留材,多角化,住宅・高機能プラスチックスが主力。管材はインフラ向け主要製品,塩化ビニル管・継手協会・積水化学製品情報,未確認
4045,東亞合成,プライム,化学,上下水道,塩ビ管・継手・マス・下水道取付管更生材（アロン化成）、次亜塩素酸ソーダ・液化塩素,多角化,アロン化成は国産初の硬質塩ビ管メーカー。水処理薬品も供給,塩化ビニル管・継手協会・バフェットコード,確認済
4216,旭有機材,プライム,化学,上下水道,プラスチックバルブ（国内シェア約60%）・塩ビ継手・管材,多角化,旭化成系。半導体向けも大きい,かぶたん・株予報,確認済
6498,キッツ,プライム,機械,上下水道|ガス,汎用バルブ・水道用バルブ（キッツエスジーエス）・ガス用ボールバルブ,多角化,総合バルブ最大手。伸銅品事業も併営,日本バルブ工業会・水道バルブ工業会・Yahoo!ファイナンス,確認済
6229,オーケーエム,スタンダード,機械,上下水道,バタフライバルブ・ナイフゲートバルブ,専業,建築設備・上下水道・船舶向け。滋賀県野洲市,日本バルブ工業会・松井証券・Yahoo!ファイナンス,確認済
3449,テクノフレックス,スタンダード,金属製品,上下水道,伸縮管継手・フレキシブル継手・給水管装置,多角化,真空機器・樹脂管も展開,松井証券・Yahoo!ファイナンス・かぶたん,確認済
6361,荏原製作所,プライム,機械,上下水道|河川・防災,上下水道用大型ポンプ・排水機場用ポンプ・送風機・水処理設備,多角化,精密電子（半導体）事業が大きい。首都圏外郭放水路等の排水機場に納入実績,日本ポンプ工業会・日本下水道施設業協会・荏原公式納入事例,未確認
6363,酉島製作所,プライム,機械,上下水道|河川・防災,上下水道用ポンプ・排水機場用ポンプ・海水淡水化用高圧ポンプ,専業,発電所向けポンプも主力,日本ポンプ工業会・酉島公式ニュース,未確認
6351,鶴見製作所,プライム,機械,上下水道|河川・防災,水中ポンプ・機場用大型ポンプ・排水ポンプ車用ポンプ・曝気装置,専業,工事用水中ポンプ大手。排水機場向け納入事例あり,日本ポンプ工業会・日本産業機械工業会・鶴見公式,未確認
6365,電業社機械製作所,スタンダード,機械,上下水道|河川・防災,上下水道・雨水排水用大型ポンプ・送風機,専業,三菱重工系,日本産業機械工業会・Yahoo!ファイナンス・松井証券,確認済
7224,新明和工業,プライム,輸送用機器,上下水道|河川・防災,水中ポンプ・排水機場用ポンプ・水処理機器,多角化,特装車・航空機が主力。流体事業でポンプを製造,新明和工業製品情報,未確認
7723,愛知時計電機,プライム,精密機器,上下水道|ガス,水道メーター・ガスメーター（マイコンメーター）・超音波流量計,専業,水道・ガスメーター国内トップ級。ガスメーター工業会正会員,日本ガスメーター工業会・松井証券・Yahoo!ファイナンス,確認済
6845,アズビル,プライム,電気機器,上下水道|ガス,水道メーター・都市ガス/LPガスメーター・ガバナ（子会社アズビル金門）,多角化,本体は計装大手。アズビル金門はガスメーター工業会正会員,日本ガスメーター工業会・アズビル金門公式,未確認
6848,東亜ディーケーケー,スタンダード,電気機器,上下水道,水質計（濁度計・残留塩素計・pH計）・環境計測機器,専業,米Hachと提携,Yahoo!ファイナンス・かぶたん,確認済
3402,東レ,プライム,繊維製品,上下水道,RO膜・MF/UF膜（海水淡水化・浄水・MBR）,多角化,水処理膜世界大手。子会社に水道機工（上場廃止）,膜分離技術振興協会,未確認
3407,旭化成,プライム,化学,上下水道,中空糸UF/MF膜「マイクローザ」,多角化,浄水膜ろ過向け,膜分離技術振興協会,未確認
6988,日東電工,プライム,化学,上下水道,RO膜（ハイドロノーティクス）,多角化,海水淡水化向け,膜分離技術振興協会,未確認
4188,三菱ケミカルグループ,プライム,化学,上下水道,中空糸膜（三菱ケミカルアクア・ソリューションズ）・塩ビ管「ヒシパイプ」,多角化,水処理・管材は一部門,塩化ビニル管・継手協会,未確認
3405,クラレ,プライム,化学,上下水道,MBR用PVDF膜・活性炭・イオン交換樹脂,多角化,水処理は一部門,クラレ製品情報,未確認
3101,東洋紡,プライム,繊維製品,上下水道,中空糸RO膜「ホロセップ」（海水淡水化）,多角化,中東向け実績,東洋紡製品情報,未確認
6370,栗田工業,プライム,機械,上下水道,水処理薬品（凝集剤等）・水処理装置,多角化,産業向けが主。上下水道向けは一部,栗田工業製品情報,未確認
6368,オルガノ,プライム,機械,上下水道,水処理装置・イオン交換樹脂・水処理薬品,施工兼業,電子産業向けが主。下水道施設業協会会員,日本下水道施設業協会,未確認
9551,メタウォーター,プライム,機械,上下水道,セラミック膜ろ過装置・オゾン発生装置・脱水機・監視制御,施工兼業,浄水場・下水処理場設備の設計施工と運営も行う。旧日本ガイシ環境装置部門,日本下水道施設業協会・松井証券,確認済
6332,月島ホールディングス,プライム,機械,上下水道,汚泥脱水機・焼却炉・消化設備（月島JFEアクアソリューション）,施工兼業,化学プラントも主力,日本下水道施設業協会・松井証券,確認済
6309,巴工業,プライム,機械,上下水道,汚泥脱水用デカンタ型遠心分離機（国内首位）,多角化,化学品輸入販売（商社部門）も大きい,Yahoo!ファイナンス,確認済
6328,荏原実業,プライム,機械,上下水道,水処理機器・オゾン発生装置・計測機器・ポンプ,多角化,商社機能が大きく製造子会社を持つ,Yahoo!ファイナンス・かぶたん,確認済
4245,ダイキアクシス,スタンダード,化学,上下水道,浄化槽・排水処理システム,施工兼業,浄化槽の製造から施工まで一貫,松井証券・Yahoo!ファイナンス,確認済
5262,日本ヒューム,プライム,ガラス・土石製品,上下水道|道路・橋梁|河川・防災,ヒューム管（下水道管）・コンクリートパイル・雨水貯留用大口径管,専業,太平洋セメント系。ヒューム管首位,全国ヒューム管協会・全国コンクリート製品協会・松井証券,確認済
5603,虹技,スタンダード,鉄鋼,上下水道,マンホール蓋（鋳鉄）・圧延ロール・鋳造金型,多角化,マンホール蓋は一部門,Yahoo!ファイナンス・松井証券,確認済
4025,多木化学,プライム,化学,上下水道,水道用PAC（無機系凝集剤）・高分子凝集剤,多角化,化学肥料も主力,松井証券,確認済
4040,南海化学,スタンダード,化学,上下水道,PAC・次亜塩素酸ソーダ・カセイソーダ,多角化,基礎化学品が主力,FISCO・日経,確認済
5703,日本軽金属ホールディングス,プライム,非鉄金属,上下水道,水道用PAC（化成品部門）,多角化,アルミが主力。PAC取扱いは検索で直接確認できず,Yahoo!ファイナンス,確認済
5911,横河ブリッジホールディングス,プライム,金属製品,道路・橋梁,鋼橋（製作・架設）・橋梁保全・システム建築,施工兼業,橋梁最大手。製作と架設を一貫,日本橋梁建設協会・かぶたん・Yahoo!ファイナンス,確認済
3431,宮地エンジニアリンググループ,プライム,金属製品,道路・橋梁,鋼橋（製作・架設）・鉄骨,施工兼業,橋梁専業ファブリケーター,日本橋梁建設協会・Yahoo!ファイナンス,確認済
5915,駒井ハルテック,スタンダード,金属製品,道路・橋梁|電力,鋼橋（製作・架設）・送電鉄塔・鉄骨・風力発電タワー,施工兼業,橋梁・鉄骨主体、送電鉄塔も製作,日本橋梁建設協会・日本鉄塔協会・Yahoo!ファイナンス,確認済
5912,日本橋梁,スタンダード,金属製品,道路・橋梁,鋼橋（製作・架設）,施工兼業,橋梁専業,日本橋梁建設協会・Yahoo!ファイナンス,確認済
