# 連動ランキング用 スターターユニバース（先行指標探し・日本＋米国）
# 書式: シンボル  名前（任意）   ※ # 以降はコメント。6146→6146.T に自動変換。
# 自由に増減してください。米国株・指数は日本株の「先行」になりやすいので厚めに入れています。

# ── 米国・指数（日本株の先行になりやすい）──
^SOX     フィラデルフィア半導体指数
^GSPC    S&P500
^IXIC    ナスダック総合
^N225    日経平均
NVDA     エヌビディア
TSM      TSMC(米ADR)
AMD      AMD
MU       マイクロン
INTC     インテル
AVGO     ブロードコム
ASML     ASML
AAPL     アップル
MSFT     マイクロソフト
AMZN     アマゾン
GOOGL    アルファベット
META     メタ
TSLA     テスラ
FCX      フリーポート(銅)
CL=F     WTI原油
GC=F     金先物
HG=F     銅先物

# ── 日本・半導体／電子部品 ──
8035     東京エレクトロン
6857     アドバンテスト
6146     ディスコ
6920     レーザーテック
6963     ローム
6723     ルネサス
6981     村田製作所
6971     京セラ
6762     TDK
4063     信越化学
4062     イビデン
6702     富士通
6501     日立製作所
6503     三菱電機

# ── 日本・自動車／機械 ──
7203     トヨタ自動車
7267     ホンダ
7201     日産自動車
7269     スズキ
7270     SUBARU
6902     デンソー
6301     コマツ
6326     クボタ
6367     ダイキン
6954     ファナック
7011     三菱重工
7012     川崎重工

# ── 日本・商社／金融 ──
8058     三菱商事
8031     三井物産
8001     伊藤忠商事
8053     住友商事
8306     三菱UFJ
8316     三井住友FG
8411     みずほFG
8591     オリックス
8766     東京海上HD

# ── 日本・非鉄／素材／エネルギー ──
5713     住友金属鉱山
5711     三菱マテリアル
5401     日本製鉄
5411     JFEHD
4005     住友化学
3407     旭化成
5020     ENEOS
1605     INPEX

# ── 日本・海運／内需／その他大型 ──
9101     日本郵船
9104     商船三井
9107     川崎汽船
9984     ソフトバンクG
9983     ファーストリテイリング
6758     ソニーG
6861     キーエンス
7974     任天堂
4661     オリエンタルランド
9433     KDDI
9432     NTT
6098     リクルートHD
4568     第一三共
4502     武田薬品
