統計まとめ（四半期・単独）2023年1Q=1 指数,,,,,,,,,,,,,,,,,,
,2022年,,,,2023年,,,,2024年,,,,2025年,,,,2026年,
,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q,3Q,4Q,1Q,2Q
半導体製造装置_販売額,0.934,0.844,1.13,0.91,1,0.774,0.889,0.909,1.085,1.021,1.097,1.315,1.283,1.2,1.26,1.256,1.425,
FPD製造装置_販売額,0.857,0.594,1.185,0.657,1,0.51,0.33,0.655,0.573,0.813,0.586,0.71,0.609,0.842,0.73,0.683,0.631,
建設機械_出荷額(総合計),0.864,0.75,0.901,1.002,1,0.958,0.995,1.034,0.942,0.902,0.867,0.923,0.878,0.88,0.886,0.943,0.993,
ロボット工業会_（参考）受注額計,1.233,1.163,1.134,1.062,1,0.945,0.774,0.758,0.76,0.864,0.847,1.01,1.005,1.073,1.066,1.304,1.416,1.502
ロボット工業会_MR受注額,,,,,1,0.847,0.688,0.622,0.663,0.717,0.736,0.795,0.802,0.854,0.865,0.963,1.066,1.011
ロボット工業会_実装受注額,,,,,1,1.188,0.98,1.096,0.979,1.242,1.123,1.598,1.566,1.716,1.647,2.317,2.473,2.938
ロボット工業会_（参考）その他,,,,,1,1.078,0.935,0.961,1.016,0.997,0.995,1.027,0.984,0.876,0.92,0.91,0.937,1.069
NC工作機械_受注額,1.132,1.171,1.092,1.052,1,0.951,0.916,0.9,0.916,0.958,0.914,0.975,0.975,0.994,0.984,1.112,1.233,1.446
工作機械内需_鉄鋼・非鉄金属,1.026,1.044,0.88,1.052,1,0.827,0.933,0.565,0.762,0.794,0.664,0.865,0.733,0.536,0.812,0.862,0.848,
工作機械内需_金属製品,1.07,1.196,1.173,1.01,1,0.749,0.873,0.617,0.831,0.671,0.943,0.828,0.943,0.865,0.701,0.602,0.974,
工作機械内需_一般機械(建設機械),1.131,1.472,0.896,0.951,1,1.314,0.919,0.822,0.95,0.729,0.524,0.55,0.914,1.02,0.553,0.593,0.777,
工作機械内需_一般機械(金型),1.096,1.135,1.098,0.746,1,1.017,0.712,0.605,0.629,0.478,0.397,0.359,0.392,0.441,0.493,0.572,0.438,
工作機械内需_自動車(除く自動車部品),1.464,1.736,1.839,1.206,1,0.956,1.036,1.055,0.914,1.25,0.954,1.163,1.3,0.894,0.904,1.417,0.994,
工作機械内需_自動車部品,1.152,1.397,1.487,1.15,1,0.937,1.102,1.063,0.954,0.973,0.815,0.74,0.904,0.614,0.846,0.81,0.901,
工作機械内需_電気機械,1.463,1.083,1.075,0.919,1,0.637,0.805,0.448,0.763,0.483,0.705,0.559,0.552,0.814,0.618,0.557,1.036,
工作機械内需_精密機械,1.389,1.107,1.083,0.959,1,0.74,0.663,0.89,0.846,1.027,0.759,0.938,0.919,0.814,0.763,0.674,0.825,
工作機械内需_電気・精密,1.437,1.091,1.078,0.933,1,0.672,0.757,0.599,0.792,0.669,0.724,0.688,0.677,0.814,0.668,0.597,0.964,
工作機械内需_航空機(単体),0.548,0.532,0.647,0.885,1,0.958,0.692,1.186,1.041,1.969,1.082,1.851,2.063,1.536,2.87,1.538,2.547,
工作機械内需_造船・輸送用機械,1.322,1.179,0.819,1.317,1,1.034,0.899,1.207,0.946,1.093,1.053,0.826,1.691,1.126,1.754,1.662,1.037,
産業機械_①ボイラ・原動機,1.07,0.497,0.806,0.582,1,0.596,1.342,1.138,0.97,1.108,0.797,0.83,1.257,1.132,2.12,1.554,1.583,
産業機械_②鉱山機械,1.109,1.281,1.26,1.256,1,1.357,1.367,1.455,1.349,1.21,1.305,1.897,1.364,1.56,1.196,1.513,1.077,
産業機械_③化学機械(冷凍機械を含む),0.876,1.096,0.986,1.238,1,0.96,1.229,1.025,1.212,1.176,1.285,1.137,1.287,1.415,1.216,2.307,1.163,
産業機械_（内）化学機械,0.771,1.067,0.822,1.363,1,0.914,1.363,1.064,1.413,1.311,1.385,1.187,1.397,1.586,1.182,3.148,1.212,
産業機械_④タンク,2.81,0.866,0.407,0.336,1,1.057,0.781,0.707,0.998,0.863,0.621,0.615,1.095,1.373,4.301,13.276,6.284,
産業機械_⑤プラスチック加工機械,1.033,1.533,1.269,0.995,1,0.971,0.917,0.628,0.891,0.733,1.012,0.548,0.759,0.567,0.759,0.771,0.736,
産業機械_⑥ポンプ,0.859,0.98,0.94,0.891,1,0.832,1.001,0.911,1.075,0.887,1.138,1.077,0.978,0.907,1.017,1.123,1.004,
産業機械_⑦圧縮機,0.865,0.874,1.02,1.128,1,0.859,0.907,0.994,0.919,0.836,0.933,1.009,0.925,0.837,1.064,1.027,1.149,
産業機械_⑧送風機,0.935,0.803,1.168,0.955,1,1.578,1.113,1.003,0.804,1.104,0.976,1.069,1.075,1.008,0.933,0.837,0.663,
産業機械_⑨運搬機械,1.219,1.318,1.056,1.196,1,1.034,0.982,1.123,1.019,0.88,1.119,1.271,1.106,1.185,1.133,1.1,1.146,
産業機械_⑩変速機,1.052,1.23,1.103,1.192,1,0.995,1.007,1.254,1.274,2.243,1.769,1.604,1.621,1.688,1.754,1.808,1.791,
産業機械_⑪金属加工機械,1.298,2.616,0.786,0.857,1,1.752,2.042,0.716,1.508,0.825,0.693,0.71,1.838,1.045,0.913,0.551,0.979,
産業機械_⑫その他機械,0.696,0.902,0.992,0.793,1,0.797,0.864,0.805,0.82,1.077,0.712,0.701,1.069,1.428,0.868,1.095,1.197,
産業機械_⑬合計,0.964,0.934,0.945,0.899,1,0.835,1.152,0.997,1.023,1.048,0.973,0.937,1.17,1.179,1.398,1.524,1.278,
鉱工業,1.018,1.004,1.035,1.017,1,1.013,0.998,1.009,0.957,0.977,0.98,0.984,0.984,0.979,0.968,0.971,0.995,
製造工業,1.019,1.001,1.03,1.02,1,1.012,0.997,1.008,0.958,0.974,0.98,0.982,0.984,0.978,0.968,0.97,0.994,
鉄鋼・非鉄金属工業,1.051,1.03,1.015,1.011,1,1.006,0.997,0.985,0.973,0.974,0.961,0.961,0.968,0.955,0.95,0.937,0.968,
鉄鋼業,1.068,1.032,1.026,1.016,1,1.018,1.021,1.006,0.975,0.971,0.964,0.957,0.96,0.955,0.95,0.941,0.96,
鉄鋼粗製品,1.06,1.049,1.018,0.98,1,1.012,1.005,0.995,0.977,0.966,0.962,0.962,0.939,0.921,0.93,0.927,0.923,
熱間圧延鋼材,1.067,1.056,1.014,1.003,1,1.015,1.013,0.985,0.99,0.963,0.966,0.957,0.948,0.94,0.947,0.947,0.943,
冷間仕上鋼材,1.103,1.04,1.044,1.045,1,0.991,1.034,1.008,0.984,0.984,0.985,0.964,0.979,1.002,0.984,0.962,0.994,
鋼管,1.108,1.117,1.11,1.078,1,1.065,1.068,1.031,0.999,0.99,0.992,0.979,0.973,0.966,0.959,0.947,0.925,
めっき鋼材,1.015,0.938,0.964,1.02,1,1.016,0.999,1.006,0.962,0.967,0.957,0.947,0.936,0.974,0.952,0.915,0.955,
